TYPE,NAME,DESCR,Value
bacnet.point.analog.Value,Consigna Clima COB Passad Curt,,"30,00"
bacnet.point.analog.Value,Consigna Clima COB Passad Llarg,,"30,00"
bacnet.point.analog.Value,Consigna Clima P1 Menjador,,"23,00"
bacnet.point.analog.Value,Consigna Clima P1 Passad Curt,,"25,00"
bacnet.point.analog.Value,Consigna Clima P1 Passad Llarg,,"25,00"
bacnet.point.analog.Value,Consigna Clima P1 Sala Estar,,"25,00"
bacnet.point.analog.Value,Consigna Clima P1 Zona Dia,,"25,00"
bacnet.point.analog.Value,Consigna Clima P2 Menjador,,"23,00"
bacnet.point.analog.Value,Consigna Clima P2 Passad Curt,,"25,00"
bacnet.point.analog.Value,Consigna Clima P2 Passad Llarg,,"25,00"
bacnet.point.analog.Value,Consigna Clima P2 Sala Estar,,"28,00"
bacnet.point.analog.Value,Consigna Clima P3 Menjador,,"26,00"
bacnet.point.analog.Value,Consigna Clima P3 Passad Curt,,"25,00"
bacnet.point.analog.Value,Consigna Clima P3 Passad Llarg,,"25,00"
bacnet.point.analog.Value,Consigna Clima P3 Sala Estar,,"25,50"
bacnet.point.analog.Value,Consigna Clima PB Zona Dia,,"25,00"
bacnet.point.digital.Input,E Aerotermo,,Off
bacnet.point.digital.Input,E B01 Refredadora,,Off
bacnet.point.digital.Input,E B02 Caldera 1,,On
bacnet.point.digital.Input,E B03 Caldera 2,,Off
bacnet.point.digital.Input,E B04 T Radiant PB P1,,On
bacnet.point.digital.Input,E B05 T Radiant P2,,On
bacnet.point.digital.Input,E B06 T Radiant P3,,On
bacnet.point.digital.Input,E B07 Fancoils A,,On
bacnet.point.digital.Input,E B08 Fancoils B,,On
bacnet.point.digital.Input,E B09 Fancoils C,,On
bacnet.point.digital.Input,E B10 Prod ACS,,On
bacnet.point.digital.Input,E B11 Plaques Solars,,On
bacnet.point.digital.Input,E B12 Secundari Solar,,On
bacnet.point.digital.Input,E B13 Legionela,,Off
bacnet.point.digital.Input,E B14 Secundari ACS,,On
bacnet.point.digital.Input,E B15 Recirculacio ACS,,On
bacnet.point.analog.Value,M0A B01 Refredadora,,"2,00"
