BACnet Name,BACnet Type,Object ID,Description
CL1\FiltsAlarma,binary-input,"<binary-input,      41>","0=OK, 1=Alarma"
CL1\HorariActiu,binary-input,"<binary-input,       1>","0=Inactiu, 1=Actiu"
CL1\ImpTª,analog-input,"<analog-input,      37>",ºC
CL1\LimitCalor,analog-output,"<analog-output,       5>",ºC
CL1\LimitFred,analog-output,"<analog-output,       6>",ºC
CL1\RetTª,analog-input,"<analog-input,      39>",ºC
CL1\RetTªCngaE,analog-output,"<analog-output,       4>",ºC
CL1\RetTªCngaH,analog-output,"<analog-output,       3>",ºC
CL1\Selector,analog-output,"<analog-output,       1>","0=Off, 1=On, 2=Horari/Auto"
CL1\SelHorari,analog-output,"<analog-output,       2>","Min=1, Max=20"
CL1\V3VMando,analog-output,"<analog-output,      86>",0-100%
CL1\VentsAlarma,binary-input,"<binary-input,      39>","0=OK, 1=Alarma"
CL1\VentsEstat,binary-input,"<binary-input,       2>","0=Aturat, 1=En Marxa"
CL1\VentsHoresFunc,analog-output,"<analog-output,       7>",Hores
CL1\VentsRefVF,analog-output,"<analog-output,      87>",0-100%
CL1\VImpOM,binary-output,"<binary-output,      22>","0=Inactiu, 1=Actiu"
CL4\FiltsAlarma,binary-input,"<binary-input,      40>","0=OK, 1=Alarma"
CL4\HorariActiu,binary-input,"<binary-input,       3>","0=Inactiu, 1=Actiu"
CL4\ImpTª,analog-input,"<analog-input,      33>",ºC
CL4\LimitCalor,analog-output,"<analog-output,      12>",ºC
CL4\LimitFred,analog-output,"<analog-output,      13>",ºC
CL4\RetTª,analog-input,"<analog-input,      34>",ºC
CL4\RetTªCngaE,analog-output,"<analog-output,      11>",ºC
CL4\RetTªCngaH,analog-output,"<analog-output,      10>",ºC
CL4\Selector,analog-output,"<analog-output,       8>","0=Off, 1=On, 2=Horari/Auto"
CL4\SelHorari,analog-output,"<analog-output,       9>","Min=1, Max=20"
CL4\V3VMando,analog-output,"<analog-output,      88>",0-100%
CL4\VentsAlarma,binary-input,"<binary-input,      38>","0=OK, 1=Alarma"
CL14\FiltsAlarma,binary-input,"<binary-input,      37>","0=OK, 1=Alarma"
CL14\HorariActiu,binary-input,"<binary-input,      51>","0=Inactiu, 1=Actiu"
